score|name_game|name_console|userscore|date|name_company|ranking
11|Family Party: 30 Great Games Obstacle Arcade|WIIU|1|Dec 4, 2012|Nintendo|1.0
16|Ride to Hell: Retribution|PC|1.2|Jun 24, 2013|PC|2.0
17|Vroom in the Night Sky|Switch|3.1|Apr 5, 2017|Nintendo|3.0
17|Yaris|X360|4.2|Oct 10, 2007|Microsoft|3.0
17|Double Dragon II: Wander of the Dragons|X360|1.5|Apr 5, 2013|Microsoft|3.0
17|Leisure Suit Larry: Box Office Bust|PS3|1.9|May 5, 2009|Sony|3.0
18|SPOGS Racing|WII|3.6|Jul 7, 2008|Nintendo|4.0
19|Alone in the Dark: Illumination|PC|1.2|Jun 11, 2015|PC|5.0
19|Ride to Hell: Retribution|X360|1.2|Jun 25, 2013|Microsoft|5.0
20|Deal or No Deal|DS|2|Jul 23, 2007|Nintendo|6.0
20|Leisure Suit Larry: Box Office Bust|PC|2.3|Mar 31, 2009|PC|6.0
20|Infestation: Survivor Stories The War Z|PC|1.7|Oct 15, 2012|PC|6.0
21|Afro Samurai 2: Revenge of Kuma Volume One|PS4|2.6|Sep 22, 2015|Sony|7.0
22|Fast & Furious: Showdown|X360|1|May 21, 2013|Microsoft|8.0
22|Drake of the 99 Dragons|XBOX|1.8|Nov 3, 2003|Microsoft|8.0
23|Fighter Within|XONE|2.8|Nov 19, 2013|Microsoft|9.0
23|Rambo: The Video Game|PS3|1.5|Apr 29, 2014|Sony|9.0
23|FlatOut 3: Chaos & Destruction|PC|3.3|Dec 13, 2011|PC|9.0
23|Charlie's Angels|GC|3.1|Jul 9, 2003|Nintendo|9.0
23|Homie Rollerz|DS|2.4|Mar 5, 2008|Nintendo|9.0
24|Legends of Wrestling II|GBA|3.7|Nov 25, 2002|Nintendo|10.0
24|Terrawars: New York Invasion|PC|2.4|Jul 6, 2006|PC|10.0
24|Postal III|PC|3|Dec 21, 2011|PC|10.0
24|Gravity Games Bike: Street Vert Dirt|PS2|4|Jun 27, 2002|Sony|10.0
24|NBA Unrivaled|PS3|0.9|Nov 12, 2009|Sony|10.0
24|Game Party Champions|WIIU|3.4|Nov 18, 2012|Nintendo|10.0
24|Pulse Racer|XBOX|2.8|Jan 2, 2003|Microsoft|10.0
