score|name_game|name_console|userscore|date|name_company|ranking
45|Rodea the Sky Soldier|3DS|5.6|Nov 10, 2015|Nintendo|1.0
44|Combat of Giants: Dinosaurs 3D|3DS|5.3|Mar 27, 2011|Nintendo|2.0
44|Johnny Kung Fu|3DS|4.9|Jul 12, 2012|Nintendo|2.0
43|Asphalt 3D|3DS|4.3|Mar 22, 2011|Nintendo|3.0
43|Pac-Man Party 3D|3DS|5.4|Nov 8, 2011|Nintendo|3.0
43|Power Rangers Super Megaforce|3DS|6|Oct 28, 2014|Nintendo|3.0
42|Block Factory|3DS|5.3|Apr 26, 2012|Nintendo|4.0
42|One Piece: Romance Dawn|3DS|6.7|Feb 11, 2014|Nintendo|4.0
40|Chronus Arc|3DS|5.4|Oct 1, 2015|Nintendo|5.0
39|RollerCoaster Tycoon 3D|3DS|2.6|Oct 16, 2012|Nintendo|6.0
37|3D Classics: Urban Champion|3DS|5.8|Aug 18, 2011|Nintendo|7.0
35|Langrisser Re:Incarnation -TENSEI-|3DS|6.3|Apr 19, 2016|Nintendo|8.0
30|Power Rangers Megaforce|3DS|4.8|Nov 5, 2013|Nintendo|9.0
30|Transformers: Dark of the Moon - Stealth Force Edition|3DS|3.3|Jun 14, 2011|Nintendo|9.0
26|Tenkai Knights: Brave Battle|3DS|2.7|Oct 7, 2014|Nintendo|10.0
62|Spawn: In the Demon's Hand|DC|7|Oct 1, 2000|Sega|1.0
61|Virtua Athlete 2000|DC|7.3|Aug 10, 2001|Sega|2.0
61|Illbleed|DC|8.4|Apr 16, 2001|Sega|2.0
60|Army Men: Sarge's Heroes|DC|7.3|Oct 30, 2000|Sega|3.0
59|Tomb Raider: Chronicles|DC|8.3|Nov 19, 2000|Sega|4.0
58|Heavy Metal: Geomatrix|DC|5.8|Sep 13, 2001|Sega|5.0
57|Toy Story 2: Buzz Lightyear to the Rescue!|DC|6.6|Jun 30, 2000|Sega|6.0
54|Sonic Shuffle|DC|7.2|Nov 13, 2000|Sega|7.0
49|Evil Dead: Hail to the King|DC|6|Dec 17, 2000|Sega|8.0
48|World Series Baseball 2K1|DC|7.2|Jul 17, 2000|Sega|9.0
46|Death Crimson OX|DC|4.5|Aug 5, 2001|Sega|10.0
36|Teenage Mutant Ninja Turtles: Arcade Attack|DS|4.8|Nov 10, 2009|Nintendo|1.0
35|Fantastic Four: Rise of the Silver Surfer|DS|4.8|Jun 15, 2007|Nintendo|2.0
34|March of the Penguins|DS|1.7|Nov 27, 2006|Nintendo|3.0
33|Dragon Booster|DS|7|Dec 7, 2005|Nintendo|4.0
33|Superman Returns|DS|4.9|Nov 20, 2006|Nintendo|4.0
32|Best of Tests DS|DS|5|Mar 4, 2008|Nintendo|5.0
31|Toy Shop|DS|5.4|Apr 29, 2008|Nintendo|6.0
29|Duke Nukem: Critical Mass|DS|3.3|Jun 6, 2011|Nintendo|7.0
28|Thundercats|DS|1.1|Oct 30, 2012|Nintendo|8.0
28|Ping Pals|DS|3.9|Dec 8, 2004|Nintendo|8.0
28|Godzilla Unleashed: Double Smash|DS|4.9|Nov 20, 2007|Nintendo|8.0
23|Homie Rollerz|DS|2.4|Mar 5, 2008|Nintendo|9.0
20|Deal or No Deal|DS|2|Jul 23, 2007|Nintendo|10.0
40|Dragon Ball Z: Taiketsu|GBA|6|Nov 24, 2003|Nintendo|1.0
39|Star Wars: Flight of the Falcon|GBA|6.1|Nov 18, 2003|Nintendo|2.0
38|Star Wars Episode II: Attack of the Clones|GBA|4.3|May 30, 2002|Nintendo|3.0
37|Gauntlet: Dark Legacy|GBA|6.8|Nov 25, 2002|Nintendo|4.0
35|Street Jam Basketball|GBA|8|Apr 25, 2004|Nintendo|5.0
34|David Beckham Soccer|GBA|4.2|Oct 7, 2002|Nintendo|6.0
33|Yu Yu Hakusho: Spirit Detective|GBA|8.2|Dec 2, 2003|Nintendo|7.0
33|Van Helsing|GBA|6.3|May 6, 2004|Nintendo|7.0
33|Mortal Kombat Advance|GBA|2|Dec 12, 2001|Nintendo|7.0
30|Fear Factor: Unleashed|GBA|3|Nov 17, 2004|Nintendo|8.0
26|Mucha Lucha! Mascaritas of the Lost Code|GBA|4.3|Nov 18, 2003|Nintendo|9.0
24|Legends of Wrestling II|GBA|3.7|Nov 25, 2002|Nintendo|10.0
46|Disney's PK: Out of the Shadows|GC|6.5|Dec 3, 2002|Nintendo|1.0
44|Yu-Gi-Oh! The Falsebound Kingdom|GC|7.2|Nov 4, 2003|Nintendo|2.0
44|TMNT: Mutant Melee|GC|5.2|Mar 16, 2005|Nintendo|2.0
42|MC Groovz Dance Craze|GC|6.8|Nov 22, 2004|Nintendo|3.0
40|The Polar Express|GC|4.7|Nov 2, 2004|Nintendo|4.0
39|Charlie and the Chocolate Factory|GC|3.2|Jul 11, 2005|Nintendo|5.0
39|Monsters, Inc. Scream Arena|GC|4.7|Sep 14, 2002|Nintendo|5.0
39|Universal Studios Theme Parks Adventure|GC|2.9|Dec 18, 2001|Nintendo|5.0
36|The Sum of All Fears|GC|3.4|Jan 9, 2003|Nintendo|6.0
36|Disney Sports Skateboarding|GC|4.7|Nov 17, 2002|Nintendo|6.0
36|Jeremy McGrath Supercross World|GC|5.6|Feb 27, 2002|Nintendo|6.0
35|Bad Boys: Miami Takedown|GC|2|Sep 14, 2004|Nintendo|7.0
29|Batman: Dark Tomorrow|GC|2.7|Mar 25, 2003|Nintendo|8.0
27|Aquaman: Battle for Atlantis|GC|2.8|Jul 23, 2003|Nintendo|9.0
23|Charlie's Angels|GC|3.1|Jul 9, 2003|Nintendo|10.0
74|Mario Party 3|N64|8|May 6, 2001|Nintendo|1.0
72|Spider-Man|N64|6.9|Nov 21, 2000|Nintendo|2.0
71|Mickey's Speedway USA|N64|7.3|Nov 13, 2000|Nintendo|3.0
71|Dr. Mario 64|N64|7.9|Apr 8, 2001|Nintendo|3.0
69|Duck Dodgers Starring Daffy Duck|N64|8.4|Sep 16, 2000|Nintendo|4.0
57|Hey You, Pikachu!|N64|6.4|Nov 5, 2000|Nintendo|5.0
55|Hercules: The Legendary Journeys|N64|7.4|Nov 16, 2000|Nintendo|6.0
54|Fighter Destiny 2|N64|6.6|Jul 14, 2000|Nintendo|7.0
53|Aidyn Chronicles: The First Mage|N64|7.8|Mar 14, 2001|Nintendo|8.0
46|Army Men: Sarge's Heroes 2|N64|6.8|Sep 26, 2000|Nintendo|9.0
43|Cruis'n Exotica|N64|7.3|Oct 16, 2000|Nintendo|10.0
29|Hoodwink|PC|2.8|Jun 28, 2012|PC|1.0
29|Wild West Online|PC|0.2|May 10, 2018|PC|1.0
29|Rogue Warrior|PC|3.4|Dec 1, 2009|PC|1.0
28|American McGee Presents Bad Day LA|PC|7.2|Sep 6, 2006|PC|2.0
27|Fray|PC|2.4|Feb 8, 2012|PC|3.0
